age,education_num,capital_gain,capital_loss,hours_per_week,workclass_Private,workclass_Self-emp,workclass_Without-pay,marital_status_Married,marital_status_Never-married,marital_status_Separated,marital_status_Widowed,occupation_Exec-managerial,occupation_Handlers-cleaners,occupation_Prof-specialty,occupation_Sales,occupation_Tech-support,relationship_Not-in-family,relationship_Other-relative,relationship_Own-child,relationship_Unmarried,relationship_Wife,race_Asian-Pac-Islander,race_Black,race_Other,race_White,sex_Male,income
0.5990813466845626,1.0871190587159265,-0.25789636297480556,-0.20524344361051802,0.3616449567396393,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
1.3976107742349895,-0.5333735756561958,-0.25789636297480556,1.4471349651214673,-0.05284783035450321,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1
-0.015172059123458105,1.5501169542508186,-0.25789636297480556,-0.20524344361051802,0.4998092191043535,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
-0.8751268272546872,-0.9963714711910879,-0.25789636297480556,-0.20524344361051802,-0.6745870109957169,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0.8447827090077709,1.0871190587159265,-0.25789636297480556,-0.20524344361051802,0.8106788094249604,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
-1.3051042113203015,0.6241211631810345,-0.25789636297480556,-0.20524344361051802,-1.123620863681038,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
-0.5065747837698746,0.39262221541358844,-0.25789636297480556,-0.20524344361051802,-1.2272440604545736,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.5990813466845626,1.0871190587159265,-0.25789636297480556,4.858040288499699,-1.054538732498681,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
-0.6294254649314788,-1.2278704189585339,-0.25789636297480556,-0.20524344361051802,0.7415966782426032,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
-0.38372410260827056,-1.2278704189585339,-0.25789636297480556,-0.20524344361051802,0.3271038911484608,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
-1.1208281895778953,-1.2278704189585339,-0.25789636297480556,-0.20524344361051802,0.6034324158778891,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
-1.1208281895778953,-0.5333735756561958,-0.25789636297480556,-0.20524344361051802,1.6396643836132454,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
-0.3222987620274685,1.3186180064833726,-0.25789636297480556,-0.20524344361051802,-0.19101209271921737,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.4590361148157915,-0.07037568012130366,-0.25789636297480556,-0.20524344361051802,-0.6055048798133599,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.4148053249421564,0.6241211631810345,-0.25789636297480556,-0.20524344361051802,-1.3308672572281093,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
0.6605066872653647,-0.3018746278887497,-0.25789636297480556,-0.20524344361051802,-1.6417368475487162,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
-0.3222987620274685,1.3186180064833726,-0.25789636297480556,-0.20524344361051802,1.3978769244749956,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-1.6122309142243119,-0.9963714711910879,-0.25789636297480556,-0.20524344361051802,0.6379734814690676,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
-0.4451494431890726,0.6241211631810345,-0.25789636297480556,-0.20524344361051802,-1.123620863681038,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
1.4590361148157915,0.8556201109484806,-0.25789636297480556,-0.20524344361051802,1.0870073341543887,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1
-1.6736562548051142,-0.9963714711910879,-0.25789636297480556,-0.20524344361051802,1.4669590556573526,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
-0.3222987620274685,0.6241211631810345,-0.25789636297480556,-0.20524344361051802,1.5360411868397097,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0.9062080495885729,0.39262221541358844,2.8969378927978324,-0.20524344361051802,-0.32917635508393156,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.04625328145734397,1.5501169542508186,-0.25789636297480556,-0.20524344361051802,1.2942537277014599,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
0.5376560061037605,0.6241211631810345,-0.25789636297480556,-0.20524344361051802,-0.1219299615368603,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
-1.6736562548051142,0.6241211631810345,-0.25789636297480556,-0.20524344361051802,1.3287947932926385,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
-0.5065747837698746,1.3186180064833726,0.5580900068499023,5.017263047371089,1.5015001212485313,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1
0.23052930319975018,0.6241211631810345,-0.25789636297480556,-0.20524344361051802,-1.5726547163663591,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
-1.0594028489970932,-1.45936936672598,-0.25789636297480556,-0.20524344361051802,-0.3982584862662886,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
-0.4451494431890726,1.3186180064833726,-0.25789636297480556,-0.20524344361051802,0.4652681535131749,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
0.9062080495885729,-1.690868314493426,-0.25789636297480556,-0.20524344361051802,-0.7091280765868955,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
-0.26087342144666636,0.1611232676461424,-0.25789636297480556,-0.20524344361051802,-1.054538732498681,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
1.2133347524925833,0.8556201109484806,-0.25789636297480556,-0.20524344361051802,1.4324179900661742,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1
-0.13802274028506226,1.5501169542508186,-0.25789636297480556,-0.20524344361051802,-0.7091280765868955,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
0.7833573684269688,0.8556201109484806,-0.25789636297480556,2.8907546455554076,-0.5018816830398243,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
-0.07659739970426017,-1.45936936672598,-0.25789636297480556,-0.20524344361051802,0.7070556126514247,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
-0.8137014866738851,1.0871190587159265,-0.25789636297480556,-0.20524344361051802,-0.9163744701339668,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
-0.8751268272546872,-0.07037568012130366,-0.25789636297480556,-0.20524344361051802,-0.1219299615368603,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.0904840713309791,1.5501169542508186,-0.25789636297480556,-0.20524344361051802,-0.19101209271921737,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.3361854336541874,0.1611232676461424,-0.25789636297480556,-0.20524344361051802,-0.05284783035450321,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
0.9062080495885729,-0.9963714711910879,-0.25789636297480556,-0.20524344361051802,0.08531643201021095,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1.5818867959773957,-0.07037568012130366,0.4254389327215122,-0.20524344361051802,-1.434490454001645,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1
1.3976107742349895,0.1611232676461424,-0.25789636297480556,-0.20524344361051802,0.1889396287837466,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
1.7047374771389998,0.39262221541358844,-0.25789636297480556,-0.20524344361051802,0.5688913502867106,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-1.6122309142243119,0.39262221541358844,-0.25789636297480556,0.6580977378254658,0.9488430717896745,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
0.47623066552295845,-0.7648725234236419,-0.25789636297480556,-0.20524344361051802,-0.32917635508393156,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1
1.3361854336541874,1.0871190587159265,-0.25789636297480556,-0.20524344361051802,1.2251715965191028,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
-1.3665295519011036,1.3186180064833726,-0.25789636297480556,-0.20524344361051802,-0.6400459454045384,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
-0.5065747837698746,-0.3018746278887497,-0.25789636297480556,-0.20524344361051802,-0.05284783035450321,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
-1.2436788707394995,0.39262221541358844,-0.25789636297480556,-0.20524344361051802,0.39618602233081784,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
0.5990813466845626,-0.9963714711910879,-0.25789636297480556,-0.20524344361051802,0.08531643201021095,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
-0.6908508055122808,-1.690868314493426,-0.25789636297480556,-0.20524344361051802,-0.3982584862662886,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
